깊,4,ㄱㅣㅍ
까,1,ㄲㅏ
깍,4,ㄲㅏㄱ
깎,4,ㄲㅏㄲ
깐,4,ㄲㅏㄴ
깔,4,ㄲㅏㄹ
깖,4,ㄲㅏㄻ
깜,4,ㄲㅏㅁ
깝,4,ㄲㅏㅂ
깟,4,ㄲㅏㅅ
깠,4,ㄲㅏㅆ
깡,4,ㄲㅏㅇ
깥,4,ㄲㅏㅌ
깨,1,ㄲㅐ
깩,4,ㄲㅐㄱ
깬,4,ㄲㅐㄴ
깰,4,ㄲㅐㄹ
깸,4,ㄲㅐㅁ
깹,4,ㄲㅐㅂ
깻,4,ㄲㅐㅅ
깼,4,ㄲㅐㅆ
깽,4,ㄲㅐㅇ
꺄,1,ㄲㅑ
꺅,4,ㄲㅑㄱ
꺌,4,ㄲㅑㄹ
꺼,1,ㄲㅓ
꺽,4,ㄲㅓㄱ
꺾,4,ㄲㅓㄲ
껀,4,ㄲㅓㄴ
껄,4,ㄲㅓㄹ
껌,4,ㄲㅓㅁ
껍,4,ㄲㅓㅂ
껏,4,ㄲㅓㅅ
껐,4,ㄲㅓㅆ
껑,4,ㄲㅓㅇ
께,1,ㄲㅔ
껙,4,ㄲㅔㄱ
껜,4,ㄲㅔㄴ
껨,4,ㄲㅔㅁ
껫,4,ㄲㅔㅅ
껭,4,ㄲㅔㅇ
껴,1,ㄲㅕ
껸,4,ㄲㅕㄴ
껼,4,ㄲㅕㄹ
꼇,4,ㄲㅕㅅ
꼈,4,ㄲㅕㅆ
꼍,4,ㄲㅕㅌ
꼐,1,ㄲㅖ
꼬,2,ㄲㅗ
꼭,5,ㄲㅗㄱ
꼰,5,ㄲㅗㄴ
꼲,5,ㄲㅗㄶ
꼴,5,ㄲㅗㄹ
꼼,5,ㄲㅗㅁ
꼽,5,ㄲㅗㅂ
꼿,5,ㄲㅗㅅ
꽁,5,ㄲㅗㅇ
꽂,5,ㄲㅗㅈ
꽃,5,ㄲㅗㅊ
꽈,3,ㄲㅘ
꽉,6,ㄲㅘㄱ
꽐,6,ㄲㅘㄹ
꽜,6,ㄲㅘㅆ
꽝,6,ㄲㅘㅇ
꽤,3,ㄲㅙ
꽥,6,ㄲㅙㄱ
꽹,6,ㄲㅙㅇ
꾀,3,ㄲㅚ
꾄,6,ㄲㅚㄴ
꾈,6,ㄲㅚㄹ
꾐,6,ㄲㅚㅁ
꾑,6,ㄲㅚㅂ
꾕,6,ㄲㅚㅇ
꾜,2,ㄲㅛ
꾸,2,ㄲㅜ
꾹,5,ㄲㅜㄱ
꾼,5,ㄲㅜㄴ
꿀,5,ㄲㅜㄹ
꿇,5,ㄲㅜㅀ
꿈,5,ㄲㅜㅁ
꿉,5,ㄲㅜㅂ
꿋,5,ㄲㅜㅅ
꿍,5,ㄲㅜㅇ
꿎,5,ㄲㅜㅈ
꿔,3,ㄲㅝ
꿜,6,ㄲㅝㄹ
꿨,6,ㄲㅝㅆ
꿩,6,ㄲㅝㅇ
꿰,3,ㄲㅞ
꿱,6,ㄲㅞㄱ
꿴,6,ㄲㅞㄴ
꿸,6,ㄲㅞㄹ
뀀,6,ㄲㅞㅁ
뀁,6,ㄲㅞㅂ
뀄,6,ㄲㅞㅆ
뀌,3,ㄲㅟ
뀐,6,ㄲㅟㄴ
뀔,6,ㄲㅟㄹ
뀜,6,ㄲㅟㅁ
뀝,6,ㄲㅟㅂ
뀨,2,ㄲㅠ
끄,2,ㄲㅡ
끅,5,ㄲㅡㄱ
끈,5,ㄲㅡㄴ
끊,5,ㄲㅡㄶ
끌,5,ㄲㅡㄹ
끎,5,ㄲㅡㄻ
끓,5,ㄲㅡㅀ
끔,5,ㄲㅡㅁ
끕,5,ㄲㅡㅂ
끗,5,ㄲㅡㅅ
끙,5,ㄲㅡㅇ
끝,5,ㄲㅡㅌ
끼,1,ㄲㅣ
끽,4,ㄲㅣㄱ
낀,4,ㄲㅣㄴ
낄,4,ㄲㅣㄹ
낌,4,ㄲㅣㅁ
낍,4,ㄲㅣㅂ
낏,4,ㄲㅣㅅ
낑,4,ㄲㅣㅇ
나,1,ㄴㅏ
낙,4,ㄴㅏㄱ
낚,4,ㄴㅏㄲ
난,4,ㄴㅏㄴ
낟,4,ㄴㅏㄷ
날,4,ㄴㅏㄹ
낡,4,ㄴㅏㄺ
낢,4,ㄴㅏㄻ
남,4,ㄴㅏㅁ
납,4,ㄴㅏㅂ
낫,4,ㄴㅏㅅ
났,4,ㄴㅏㅆ
낭,4,ㄴㅏㅇ
낮,4,ㄴㅏㅈ
낯,4,ㄴㅏㅊ
낱,4,ㄴㅏㅌ
낳,4,ㄴㅏㅎ
내,1,ㄴㅐ
낵,4,ㄴㅐㄱ
낸,4,ㄴㅐㄴ
낼,4,ㄴㅐㄹ
냄,4,ㄴㅐㅁ
냅,4,ㄴㅐㅂ
냇,4,ㄴㅐㅅ
냈,4,ㄴㅐㅆ
냉,4,ㄴㅐㅇ
냐,1,ㄴㅑ
냑,4,ㄴㅑㄱ
냔,4,ㄴㅑㄴ
냘,4,ㄴㅑㄹ
냠,4,ㄴㅑㅁ
냥,4,ㄴㅑㅇ
너,1,ㄴㅓ
넉,4,ㄴㅓㄱ
넋,4,ㄴㅓㄳ
넌,4,ㄴㅓㄴ
널,4,ㄴㅓㄹ
넒,4,ㄴㅓㄻ
넓,4,ㄴㅓㄼ
넘,4,ㄴㅓㅁ
넙,4,ㄴㅓㅂ
넛,4,ㄴㅓㅅ
넜,4,ㄴㅓㅆ
넝,4,ㄴㅓㅇ
넣,4,ㄴㅓㅎ
네,1,ㄴㅔ
넥,4,ㄴㅔㄱ
넨,4,ㄴㅔㄴ
넬,4,ㄴㅔㄹ
넴,4,ㄴㅔㅁ
넵,4,ㄴㅔㅂ
넷,4,ㄴㅔㅅ
넸,4,ㄴㅔㅆ
넹,4,ㄴㅔㅇ
녀,1,ㄴㅕ
녁,4,ㄴㅕㄱ
년,4,ㄴㅕㄴ
녈,4,ㄴㅕㄹ
념,4,ㄴㅕㅁ
녑,4,ㄴㅕㅂ
녔,4,ㄴㅕㅆ
녕,4,ㄴㅕㅇ
녘,4,ㄴㅕㅋ
녜,1,ㄴㅖ
녠,4,ㄴㅖㄴ
노,2,ㄴㅗ
녹,5,ㄴㅗㄱ
논,5,ㄴㅗㄴ
놀,5,ㄴㅗㄹ
놂,5,ㄴㅗㄻ
놈,5,ㄴㅗㅁ
놉,5,ㄴㅗㅂ
놋,5,ㄴㅗㅅ
농,5,ㄴㅗㅇ
높,5,ㄴㅗㅍ
놓,5,ㄴㅗㅎ
놔,3,ㄴㅘ
놘,6,ㄴㅘㄴ
놜,6,ㄴㅘㄹ
놨,6,ㄴㅘㅆ
뇌,3,ㄴㅚ
뇐,6,ㄴㅚㄴ
뇔,6,ㄴㅚㄹ
뇜,6,ㄴㅚㅁ
뇝,6,ㄴㅚㅂ
뇟,6,ㄴㅚㅅ
뇨,2,ㄴㅛ
뇩,5,ㄴㅛㄱ
뇬,5,ㄴㅛㄴ
뇰,5,ㄴㅛㄹ
뇹,5,ㄴㅛㅂ
